Subarea_1,Program,Score,Area,ScoreOrdinal,Subarea,Mean_Score,Se_Score
NASEM.Communication.01,B.S. in Data Analytics.O,2,Client,2,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,"B.S. in Data Sciences, Applied Data Science option",1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,"B.S. in Data Sciences, Computational Science option",2,Client,2,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,Data Science Minor,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,Statistics and Data Science BA,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,Statistics and Data Science BS,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,B.A. in Data Science,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,B.S. in Statistics: Statistical Data Science,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,B.A. in Statistics and Data Science,4,Client,4,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,Certificate in Data Science ,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,B.S. in Data Science,2,Client,2,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,B.S. in Computer Science with data science specialization,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,"B.S. in Computer Science, Data Science Option",1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,B.S. in Human Centered Design & Engineering with Data Science option,2,Client,2,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,"B.S. in Informatics, Data Science Track",4,Client,4,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,B.S. in Statistics with Data Science option,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.01,B.S. in Data Analytics.W,1,Client,1,Well-structured technical writing without jargon,3.055556,0.1271154
NASEM.Communication.02,B.S. in Data Analytics.O,2,Reporting,2,Effective presentation skills,2.444444,0.2016634
