Subarea,Program,Score,Area,ScoreOrdinal
NASEM.Compute.01,B.S. in Data Analytics.O,4,Abstractions,4
NASEM.Compute.01,"B.S. in Data Sciences, Applied Data Science option",4,Abstractions,4
NASEM.Compute.01,"B.S. in Data Sciences, Computational Science option",4,Abstractions,4
NASEM.Compute.01,Data Science Minor,4,Abstractions,4
NASEM.Compute.01,Statistics and Data Science BA,4,Abstractions,4
NASEM.Compute.01,Statistics and Data Science BS,4,Abstractions,4
NASEM.Compute.01,B.A. in Data Science,4,Abstractions,4
NASEM.Compute.01,B.S. in Statistics: Statistical Data Science,4,Abstractions,4
NASEM.Compute.01,B.A. in Statistics and Data Science,4,Abstractions,4
NASEM.Compute.01,Certificate in Data Science ,2,Abstractions,2
NASEM.Compute.01,B.S. in Data Science,4,Abstractions,4
NASEM.Compute.01,B.S. in Computer Science with data science specialization,4,Abstractions,4
NASEM.Compute.01,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Abstractions,4
NASEM.Compute.01,"B.S. in Computer Science, Data Science Option",4,Abstractions,4
NASEM.Compute.01,B.S. in Human Centered Design & Engineering with Data Science option,4,Abstractions,4
NASEM.Compute.01,"B.S. in Informatics, Data Science Track",4,Abstractions,4
NASEM.Compute.01,B.S. in Statistics with Data Science option,4,Abstractions,4
NASEM.Compute.01,B.S. in Data Analytics.W,4,Abstractions,4
NASEM.Compute.02,B.S. in Data Analytics.O,4,Algorithmic,4
NASEM.Compute.02,"B.S. in Data Sciences, Applied Data Science option",4,Algorithmic,4
NASEM.Compute.02,"B.S. in Data Sciences, Computational Science option",4,Algorithmic,4
NASEM.Compute.02,Data Science Minor,4,Algorithmic,4
NASEM.Compute.02,Statistics and Data Science BA,4,Algorithmic,4
NASEM.Compute.02,Statistics and Data Science BS,4,Algorithmic,4
NASEM.Compute.02,B.A. in Data Science,4,Algorithmic,4
NASEM.Compute.02,B.S. in Statistics: Statistical Data Science,4,Algorithmic,4
NASEM.Compute.02,B.A. in Statistics and Data Science,4,Algorithmic,4
NASEM.Compute.02,Certificate in Data Science ,2,Algorithmic,2
NASEM.Compute.02,B.S. in Data Science,4,Algorithmic,4
NASEM.Compute.02,B.S. in Computer Science with data science specialization,4,Algorithmic,4
NASEM.Compute.02,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Algorithmic,4
NASEM.Compute.02,"B.S. in Computer Science, Data Science Option",4,Algorithmic,4
NASEM.Compute.02,B.S. in Human Centered Design & Engineering with Data Science option,1,Algorithmic,1
NASEM.Compute.02,"B.S. in Informatics, Data Science Track",4,Algorithmic,4
NASEM.Compute.02,B.S. in Statistics with Data Science option,1,Algorithmic,1
NASEM.Compute.02,B.S. in Data Analytics.W,1,Algorithmic,1
NASEM.Compute.03,B.S. in Data Analytics.O,4,Programming,4
NASEM.Compute.03,"B.S. in Data Sciences, Applied Data Science option",4,Programming,4
NASEM.Compute.03,"B.S. in Data Sciences, Computational Science option",4,Programming,4
NASEM.Compute.03,Data Science Minor,4,Programming,4
NASEM.Compute.03,Statistics and Data Science BA,4,Programming,4
NASEM.Compute.03,Statistics and Data Science BS,4,Programming,4
NASEM.Compute.03,B.A. in Data Science,4,Programming,4
NASEM.Compute.03,B.S. in Statistics: Statistical Data Science,4,Programming,4
NASEM.Compute.03,B.A. in Statistics and Data Science,4,Programming,4
NASEM.Compute.03,Certificate in Data Science ,3,Programming,3
NASEM.Compute.03,B.S. in Data Science,4,Programming,4
NASEM.Compute.03,B.S. in Computer Science with data science specialization,4,Programming,4
NASEM.Compute.03,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Programming,4
NASEM.Compute.03,"B.S. in Computer Science, Data Science Option",4,Programming,4
NASEM.Compute.03,B.S. in Human Centered Design & Engineering with Data Science option,4,Programming,4
NASEM.Compute.03,"B.S. in Informatics, Data Science Track",4,Programming,4
NASEM.Compute.03,B.S. in Statistics with Data Science option,4,Programming,4
NASEM.Compute.03,B.S. in Data Analytics.W,4,Programming,4
NASEM.Compute.04,B.S. in Data Analytics.O,4,Structures,4
NASEM.Compute.04,"B.S. in Data Sciences, Applied Data Science option",4,Structures,4
NASEM.Compute.04,"B.S. in Data Sciences, Computational Science option",4,Structures,4
NASEM.Compute.04,Data Science Minor,4,Structures,4
NASEM.Compute.04,Statistics and Data Science BA,4,Structures,4
NASEM.Compute.04,Statistics and Data Science BS,4,Structures,4
NASEM.Compute.04,B.A. in Data Science,4,Structures,4
NASEM.Compute.04,B.S. in Statistics: Statistical Data Science,4,Structures,4
NASEM.Compute.04,B.A. in Statistics and Data Science,4,Structures,4
NASEM.Compute.04,Certificate in Data Science ,2,Structures,2
NASEM.Compute.04,B.S. in Data Science,4,Structures,4
NASEM.Compute.04,B.S. in Computer Science with data science specialization,4,Structures,4
NASEM.Compute.04,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Structures,4
NASEM.Compute.04,"B.S. in Computer Science, Data Science Option",4,Structures,4
NASEM.Compute.04,B.S. in Human Centered Design & Engineering with Data Science option,3,Structures,3
NASEM.Compute.04,"B.S. in Informatics, Data Science Track",4,Structures,4
NASEM.Compute.04,B.S. in Statistics with Data Science option,4,Structures,4
NASEM.Compute.04,B.S. in Data Analytics.W,4,Structures,4
NASEM.Compute.05,B.S. in Data Analytics.O,4,Simulations,4
NASEM.Compute.05,"B.S. in Data Sciences, Applied Data Science option",1,Simulations,1
NASEM.Compute.05,"B.S. in Data Sciences, Computational Science option",1,Simulations,1
NASEM.Compute.05,Data Science Minor,1,Simulations,1
NASEM.Compute.05,Statistics and Data Science BA,4,Simulations,4
NASEM.Compute.05,Statistics and Data Science BS,4,Simulations,4
NASEM.Compute.05,B.A. in Data Science,2,Simulations,2
NASEM.Compute.05,B.S. in Statistics: Statistical Data Science,4,Simulations,4
NASEM.Compute.05,B.A. in Statistics and Data Science,4,Simulations,4
NASEM.Compute.05,Certificate in Data Science ,1,Simulations,1
NASEM.Compute.05,B.S. in Data Science,1,Simulations,1
NASEM.Compute.05,B.S. in Computer Science with data science specialization,1,Simulations,1
