Subarea_1,Program,Score,Area,ScoreOrdinal,Subarea,Mean_Score,Se_Score
NASEM.Data.management.01,B.S. in Data Analytics.O,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,"B.S. in Data Sciences, Applied Data Science option",1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,"B.S. in Data Sciences, Computational Science option",1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,Data Science Minor,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,Statistics and Data Science BA,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,Statistics and Data Science BS,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,B.A. in Data Science,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,B.S. in Statistics: Statistical Data Science,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,B.A. in Statistics and Data Science,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,Certificate in Data Science ,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,B.S. in Data Science,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,B.S. in Computer Science with data science specialization,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,"B.S. in Computer Science, Data Science Option",1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,B.S. in Human Centered Design & Engineering with Data Science option,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,"B.S. in Informatics, Data Science Track",1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,B.S. in Statistics with Data Science option,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.01,B.S. in Data Analytics.W,1,Provenance,1,Modern databases,3.111111,0.3119503
NASEM.Data.management.02,B.S. in Data Analytics.O,4,Preparation,4,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,"B.S. in Data Sciences, Applied Data Science option",4,Preparation,4,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,"B.S. in Data Sciences, Computational Science option",4,Preparation,4,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,Data Science Minor,1,Preparation,1,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,Statistics and Data Science BA,4,Preparation,4,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,Statistics and Data Science BS,4,Preparation,4,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,B.A. in Data Science,4,Preparation,4,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,B.S. in Statistics: Statistical Data Science,3,Preparation,3,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,B.A. in Statistics and Data Science,4,Preparation,4,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,Certificate in Data Science ,2,Preparation,2,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,B.S. in Data Science,2,Preparation,2,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,B.S. in Computer Science with data science specialization,4,Preparation,4,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Preparation,1,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,"B.S. in Computer Science, Data Science Option",1,Preparation,1,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,B.S. in Human Centered Design & Engineering with Data Science option,2,Preparation,2,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,"B.S. in Informatics, Data Science Track",2,Preparation,2,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,B.S. in Statistics with Data Science option,2,Preparation,2,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.02,B.S. in Data Analytics.W,1,Preparation,1,"Data preparation, especially data cleansing and data transformation",2.722222,0.3003871
NASEM.Data.management.03,B.S. in Data Analytics.O,2,Management,2,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,"B.S. in Data Sciences, Applied Data Science option",4,Management,4,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,"B.S. in Data Sciences, Computational Science option",4,Management,4,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,Data Science Minor,1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,Statistics and Data Science BA,4,Management,4,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,Statistics and Data Science BS,4,Management,4,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,B.A. in Data Science,1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,B.S. in Statistics: Statistical Data Science,1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,B.A. in Statistics and Data Science,1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,Certificate in Data Science ,2,Management,2,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,B.S. in Data Science,2,Management,2,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,B.S. in Computer Science with data science specialization,4,Management,4,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,"B.S. in Computer Science, Data Science Option",1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,B.S. in Human Centered Design & Engineering with Data Science option,2,Management,2,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,"B.S. in Informatics, Data Science Track",1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,B.S. in Statistics with Data Science option,1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.03,B.S. in Data Analytics.W,1,Management,1,Data subject privacy,2.277778,0.3411395
NASEM.Data.management.04,B.S. in Data Analytics.O,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,"B.S. in Data Sciences, Applied Data Science option",1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,"B.S. in Data Sciences, Computational Science option",1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,Data Science Minor,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,Statistics and Data Science BA,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,Statistics and Data Science BS,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,B.A. in Data Science,2,Retention,2,Data management,2.055556,0.3075544
NASEM.Data.management.04,B.S. in Statistics: Statistical Data Science,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,B.A. in Statistics and Data Science,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,Certificate in Data Science ,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,B.S. in Data Science,4,Retention,4,Data management,2.055556,0.3075544
NASEM.Data.management.04,B.S. in Computer Science with data science specialization,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,"B.S. in Computer Science, Data Science Option",1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,B.S. in Human Centered Design & Engineering with Data Science option,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,"B.S. in Informatics, Data Science Track",1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,B.S. in Statistics with Data Science option,1,Retention,1,Data management,2.055556,0.3075544
NASEM.Data.management.04,B.S. in Data Analytics.W,4,Retention,4,Data management,2.055556,0.3075544
NASEM.Data.management.05,B.S. in Data Analytics.O,1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,"B.S. in Data Sciences, Applied Data Science option",4,Privacy,4,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,"B.S. in Data Sciences, Computational Science option",4,Privacy,4,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,Data Science Minor,1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,Statistics and Data Science BA,1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,Statistics and Data Science BS,1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,B.A. in Data Science,4,Privacy,4,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,B.S. in Statistics: Statistical Data Science,1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,B.A. in Statistics and Data Science,2,Privacy,2,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,Certificate in Data Science ,1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,B.S. in Data Science,4,Privacy,4,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,B.S. in Computer Science with data science specialization,1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,"B.S. in Computer Science, Data Science Option",4,Privacy,4,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,B.S. in Human Centered Design & Engineering with Data Science option,4,Privacy,4,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,"B.S. in Informatics, Data Science Track",4,Privacy,4,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,B.S. in Statistics with Data Science option,2,Privacy,2,Record retention policies,1.388889,0.2306412
NASEM.Data.management.05,B.S. in Data Analytics.W,1,Privacy,1,Record retention policies,1.388889,0.2306412
NASEM.Data.management.06,B.S. in Data Analytics.O,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,"B.S. in Data Sciences, Applied Data Science option",1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,"B.S. in Data Sciences, Computational Science option",1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,Data Science Minor,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,Statistics and Data Science BA,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,Statistics and Data Science BS,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,B.A. in Data Science,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,B.S. in Statistics: Statistical Data Science,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,B.A. in Statistics and Data Science,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,Certificate in Data Science ,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,B.S. in Data Science,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,B.S. in Computer Science with data science specialization,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,"B.S. in Computer Science, Data Science Option",1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,B.S. in Human Centered Design & Engineering with Data Science option,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,"B.S. in Informatics, Data Science Track",1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,B.S. in Statistics with Data Science option,1,Missing,1,Data provenance,1,0
NASEM.Data.management.06,B.S. in Data Analytics.W,1,Missing,1,Data provenance,1,0
NASEM.Data.management.07,B.S. in Data Analytics.O,4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,"B.S. in Data Sciences, Applied Data Science option",4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,"B.S. in Data Sciences, Computational Science option",4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,Data Science Minor,1,Databases,1,Missing and conflicting data,1,0
NASEM.Data.management.07,Statistics and Data Science BA,1,Databases,1,Missing and conflicting data,1,0
NASEM.Data.management.07,Statistics and Data Science BS,1,Databases,1,Missing and conflicting data,1,0
NASEM.Data.management.07,B.A. in Data Science,2,Databases,2,Missing and conflicting data,1,0
NASEM.Data.management.07,B.S. in Statistics: Statistical Data Science,4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,B.A. in Statistics and Data Science,1,Databases,1,Missing and conflicting data,1,0
NASEM.Data.management.07,Certificate in Data Science ,2,Databases,2,Missing and conflicting data,1,0
NASEM.Data.management.07,B.S. in Data Science,4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,B.S. in Computer Science with data science specialization,4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,"B.S. in Computer Science, Data Science Option",4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,B.S. in Human Centered Design & Engineering with Data Science option,4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,"B.S. in Informatics, Data Science Track",4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,B.S. in Statistics with Data Science option,4,Databases,4,Missing and conflicting data,1,0
NASEM.Data.management.07,B.S. in Data Analytics.W,4,Databases,4,Missing and conflicting data,1,0
