Subarea_1,Program,Score,Area,ScoreOrdinal,Subarea,Mean_Score,Se_Score
NASEM.Math.01,B.S. in Data Analytics.O,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,"B.S. in Data Sciences, Applied Data Science option",4,Set_theory,4,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,"B.S. in Data Sciences, Computational Science option",4,Set_theory,4,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,Data Science Minor,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,Statistics and Data Science BA,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,Statistics and Data Science BS,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,B.A. in Data Science,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,B.S. in Statistics: Statistical Data Science,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,B.A. in Statistics and Data Science,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,Certificate in Data Science ,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,B.S. in Data Science,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,B.S. in Computer Science with data science specialization,4,Set_theory,4,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,"B.S. in Computer Science, Data Science Option",4,Set_theory,4,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,B.S. in Human Centered Design & Engineering with Data Science option,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,"B.S. in Informatics, Data Science Track",1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,B.S. in Statistics with Data Science option,2,Set_theory,2,Basic probability theory,3.666667,0.1807754
NASEM.Math.01,B.S. in Data Analytics.W,1,Set_theory,1,Basic probability theory,3.666667,0.1807754
NASEM.Math.02,B.S. in Data Analytics.O,1,Multivariate,1,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,"B.S. in Data Sciences, Applied Data Science option",4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,"B.S. in Data Sciences, Computational Science option",2,Multivariate,2,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,Data Science Minor,4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,Statistics and Data Science BA,4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,Statistics and Data Science BS,4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,B.A. in Data Science,1,Multivariate,1,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,B.S. in Statistics: Statistical Data Science,4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,B.A. in Statistics and Data Science,4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,Certificate in Data Science ,1,Multivariate,1,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,B.S. in Data Science,4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,B.S. in Computer Science with data science specialization,1,Multivariate,1,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,"B.S. in Computer Science, Data Science Option",2,Multivariate,2,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,B.S. in Human Centered Design & Engineering with Data Science option,2,Multivariate,2,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,"B.S. in Informatics, Data Science Track",1,Multivariate,1,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,B.S. in Statistics with Data Science option,4,Multivariate,4,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.02,B.S. in Data Analytics.W,1,Multivariate,1,Matrices & basic linear algebra,3.555556,0.2455116
NASEM.Math.03,B.S. in Data Analytics.O,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,"B.S. in Data Sciences, Applied Data Science option",4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,"B.S. in Data Sciences, Computational Science option",4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,Data Science Minor,3,Probability,3,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,Statistics and Data Science BA,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,Statistics and Data Science BS,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.A. in Data Science,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Statistics: Statistical Data Science,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.A. in Statistics and Data Science,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,Certificate in Data Science ,3,Probability,3,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Data Science,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Computer Science with data science specialization,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,"B.S. in Computer Science, Data Science Option",1,Probability,1,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Human Centered Design & Engineering with Data Science option,3,Probability,3,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,"B.S. in Informatics, Data Science Track",4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Statistics with Data Science option,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Data Analytics.W,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.04,B.S. in Data Analytics.O,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Data Sciences, Applied Data Science option",4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Data Sciences, Computational Science option",4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,Data Science Minor,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,Statistics and Data Science BA,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,Statistics and Data Science BS,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.A. in Data Science,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Statistics: Statistical Data Science,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.A. in Statistics and Data Science,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,Certificate in Data Science ,2,Linear,2,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Data Science,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Computer Science with data science specialization,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Computer Science, Data Science Option",4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Human Centered Design & Engineering with Data Science option,1,Linear,1,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Informatics, Data Science Track",1,Linear,1,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Statistics with Data Science option,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Data Analytics.W,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.05,B.S. in Data Analytics.O,4,Networks,4,Optimization,1.833333,0.258831
