Subarea,Program,Score,Area,ScoreOrdinal
NASEM.Reproducibility.01,B.S. in Data Analytics.O,1,Workflows,1
NASEM.Reproducibility.01,"B.S. in Data Sciences, Applied Data Science option",4,Workflows,4
NASEM.Reproducibility.01,"B.S. in Data Sciences, Computational Science option",4,Workflows,4
NASEM.Reproducibility.01,Data Science Minor,1,Workflows,1
NASEM.Reproducibility.01,Statistics and Data Science BA,1,Workflows,1
NASEM.Reproducibility.01,Statistics and Data Science BS,1,Workflows,1
NASEM.Reproducibility.01,B.A. in Data Science,1,Workflows,1
NASEM.Reproducibility.01,B.S. in Statistics: Statistical Data Science,4,Workflows,4
NASEM.Reproducibility.01,B.A. in Statistics and Data Science,4,Workflows,4
NASEM.Reproducibility.01,Certificate in Data Science ,1,Workflows,1
NASEM.Reproducibility.01,B.S. in Data Science,1,Workflows,1
NASEM.Reproducibility.01,B.S. in Computer Science with data science specialization,4,Workflows,4
NASEM.Reproducibility.01,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Workflows,1
NASEM.Reproducibility.01,"B.S. in Computer Science, Data Science Option",1,Workflows,1
NASEM.Reproducibility.01,B.S. in Human Centered Design & Engineering with Data Science option,1,Workflows,1
NASEM.Reproducibility.01,"B.S. in Informatics, Data Science Track",1,Workflows,1
NASEM.Reproducibility.01,B.S. in Statistics with Data Science option,1,Workflows,1
NASEM.Reproducibility.01,B.S. in Data Analytics.W,1,Workflows,1
NASEM.Reproducibility.02,B.S. in Data Analytics.O,1,Reproducible,1
NASEM.Reproducibility.02,"B.S. in Data Sciences, Applied Data Science option",2,Reproducible,2
NASEM.Reproducibility.02,"B.S. in Data Sciences, Computational Science option",2,Reproducible,2
NASEM.Reproducibility.02,Data Science Minor,1,Reproducible,1
NASEM.Reproducibility.02,Statistics and Data Science BA,1,Reproducible,1
NASEM.Reproducibility.02,Statistics and Data Science BS,1,Reproducible,1
NASEM.Reproducibility.02,B.A. in Data Science,2,Reproducible,2
NASEM.Reproducibility.02,B.S. in Statistics: Statistical Data Science,1,Reproducible,1
NASEM.Reproducibility.02,B.A. in Statistics and Data Science,4,Reproducible,4
NASEM.Reproducibility.02,Certificate in Data Science ,1,Reproducible,1
NASEM.Reproducibility.02,B.S. in Data Science,1,Reproducible,1
NASEM.Reproducibility.02,B.S. in Computer Science with data science specialization,2,Reproducible,2
NASEM.Reproducibility.02,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Reproducible,1
NASEM.Reproducibility.02,"B.S. in Computer Science, Data Science Option",1,Reproducible,1
NASEM.Reproducibility.02,B.S. in Human Centered Design & Engineering with Data Science option,1,Reproducible,1
NASEM.Reproducibility.02,"B.S. in Informatics, Data Science Track",1,Reproducible,1
NASEM.Reproducibility.02,B.S. in Statistics with Data Science option,1,Reproducible,1
NASEM.Reproducibility.02,B.S. in Data Analytics.W,1,Reproducible,1
