Subarea_1,Program,Score,Area,ScoreOrdinal,Subarea,Mean_Score,Se_Score
NASEM.Statistics.01,B.S. in Data Analytics.O,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,"B.S. in Data Sciences, Applied Data Science option",4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,"B.S. in Data Sciences, Computational Science option",4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,Data Science Minor,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,Statistics and Data Science BA,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,Statistics and Data Science BS,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,B.A. in Data Science,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,B.S. in Statistics: Statistical Data Science,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,B.A. in Statistics and Data Science,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,Certificate in Data Science ,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,B.S. in Data Science,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,B.S. in Computer Science with data science specialization,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,"B.S. in Computer Science, Data Science Option",1,Variability,1,Exploratory data analysis,4,0
NASEM.Statistics.01,B.S. in Human Centered Design & Engineering with Data Science option,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,"B.S. in Informatics, Data Science Track",4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,B.S. in Statistics with Data Science option,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.01,B.S. in Data Analytics.W,4,Variability,4,Exploratory data analysis,4,0
NASEM.Statistics.02,B.S. in Data Analytics.O,4,Multivariate,4,"Variability, uncertainty, sampling error, & inference",3.833333,0.1666667
NASEM.Statistics.02,"B.S. in Data Sciences, Applied Data Science option",1,Multivariate,1,"Variability, uncertainty, sampling error, & inference",3.833333,0.1666667
