Area,Area_Subarea_Score_Technical,Area_Subarea_Score_Soft
NASEM.Math.01,1,
NASEM.Math.01,4,
NASEM.Math.01,4,
NASEM.Math.01,1,
NASEM.Math.01,1,
NASEM.Math.01,1,
NASEM.Math.01,1,
NASEM.Math.01,1,
NASEM.Math.01,1,
NASEM.Math.01,1,
NASEM.Math.01,1,
NASEM.Math.01,4,
NASEM.Math.01,1,
NASEM.Math.01,4,
NASEM.Math.01,1,
NASEM.Math.01,1,
NASEM.Math.01,2,
NASEM.Math.01,1,
NASEM.Math.02,1,
NASEM.Math.02,4,
NASEM.Math.02,2,
NASEM.Math.02,4,
NASEM.Math.02,4,
NASEM.Math.02,4,
NASEM.Math.02,1,
NASEM.Math.02,4,
NASEM.Math.02,4,
NASEM.Math.02,1,
NASEM.Math.02,4,
NASEM.Math.02,1,
NASEM.Math.02,4,
NASEM.Math.02,2,
NASEM.Math.02,2,
NASEM.Math.02,1,
NASEM.Math.02,4,
NASEM.Math.02,1,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,3,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,3,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,1,
NASEM.Math.03,3,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.03,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,2,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.04,1,
NASEM.Math.04,1,
NASEM.Math.04,4,
NASEM.Math.04,4,
NASEM.Math.05,4,
NASEM.Math.05,4,
NASEM.Math.05,4,
NASEM.Math.05,2,
NASEM.Math.05,2,
NASEM.Math.05,2,
NASEM.Math.05,1,
NASEM.Math.05,1,
NASEM.Math.05,1,
NASEM.Math.05,1,
NASEM.Math.05,4,
NASEM.Math.05,4,
NASEM.Math.05,4,
NASEM.Math.05,1,
NASEM.Math.05,1,
NASEM.Math.05,1,
NASEM.Math.05,1,
NASEM.Math.05,1,
NASEM.Math.06,4,
NASEM.Math.06,2,
NASEM.Math.06,2,
NASEM.Math.06,2,
NASEM.Math.06,4,
NASEM.Math.06,4,
NASEM.Math.06,1,
NASEM.Math.06,2,
NASEM.Math.06,1,
NASEM.Math.06,1,
NASEM.Math.06,1,
NASEM.Math.06,2,
NASEM.Math.06,2,
NASEM.Math.06,1,
NASEM.Math.06,1,
NASEM.Math.06,1,
NASEM.Math.06,1,
NASEM.Math.06,1,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,2,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.01,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,2,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,4,
NASEM.Compute.02,1,
NASEM.Compute.02,4,
NASEM.Compute.02,1,
NASEM.Compute.02,1,
NASEM.Compute.03,4,
NASEM.Compute.03,4,
NASEM.Compute.03,4,
NASEM.Compute.03,4,
NASEM.Compute.03,4,
NASEM.Compute.03,4,
