Subarea,Program,Score,Area,ScoreOrdinal
NASEM.Ethics.01,B.S. in Data Analytics.O,1,Conduct,1
NASEM.Ethics.01,"B.S. in Data Sciences, Applied Data Science option",1,Conduct,1
NASEM.Ethics.01,"B.S. in Data Sciences, Computational Science option",1,Conduct,1
NASEM.Ethics.01,Data Science Minor,1,Conduct,1
NASEM.Ethics.01,Statistics and Data Science BA,1,Conduct,1
NASEM.Ethics.01,Statistics and Data Science BS,1,Conduct,1
NASEM.Ethics.01,B.A. in Data Science,2,Conduct,2
NASEM.Ethics.01,B.S. in Statistics: Statistical Data Science,1,Conduct,1
NASEM.Ethics.01,B.A. in Statistics and Data Science,2,Conduct,2
NASEM.Ethics.01,Certificate in Data Science ,1,Conduct,1
NASEM.Ethics.01,B.S. in Data Science,3,Conduct,3
NASEM.Ethics.01,B.S. in Computer Science with data science specialization,1,Conduct,1
NASEM.Ethics.01,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Conduct,1
NASEM.Ethics.01,"B.S. in Computer Science, Data Science Option",3,Conduct,3
NASEM.Ethics.01,B.S. in Human Centered Design & Engineering with Data Science option,3,Conduct,3
NASEM.Ethics.01,"B.S. in Informatics, Data Science Track",3,Conduct,3
NASEM.Ethics.01,B.S. in Statistics with Data Science option,2,Conduct,2
NASEM.Ethics.01,B.S. in Data Analytics.W,4,Conduct,4
NASEM.Ethics.02,B.S. in Data Analytics.O,1,Privacy,1
NASEM.Ethics.02,"B.S. in Data Sciences, Applied Data Science option",4,Privacy,4
NASEM.Ethics.02,"B.S. in Data Sciences, Computational Science option",4,Privacy,4
NASEM.Ethics.02,Data Science Minor,1,Privacy,1
NASEM.Ethics.02,Statistics and Data Science BA,1,Privacy,1
NASEM.Ethics.02,Statistics and Data Science BS,1,Privacy,1
NASEM.Ethics.02,B.A. in Data Science,4,Privacy,4
NASEM.Ethics.02,B.S. in Statistics: Statistical Data Science,1,Privacy,1
NASEM.Ethics.02,B.A. in Statistics and Data Science,2,Privacy,2
NASEM.Ethics.02,Certificate in Data Science ,1,Privacy,1
NASEM.Ethics.02,B.S. in Data Science,4,Privacy,4
NASEM.Ethics.02,B.S. in Computer Science with data science specialization,1,Privacy,1
NASEM.Ethics.02,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Privacy,1
NASEM.Ethics.02,"B.S. in Computer Science, Data Science Option",4,Privacy,4
NASEM.Ethics.02,B.S. in Human Centered Design & Engineering with Data Science option,4,Privacy,4
NASEM.Ethics.02,"B.S. in Informatics, Data Science Track",4,Privacy,4
NASEM.Ethics.02,B.S. in Statistics with Data Science option,2,Privacy,2
NASEM.Ethics.02,B.S. in Data Analytics.W,4,Privacy,4
NASEM.Ethics.03,B.S. in Data Analytics.O,1,Responsible,1
NASEM.Ethics.03,"B.S. in Data Sciences, Applied Data Science option",1,Responsible,1
NASEM.Ethics.03,"B.S. in Data Sciences, Computational Science option",1,Responsible,1
NASEM.Ethics.03,Data Science Minor,2,Responsible,2
NASEM.Ethics.03,Statistics and Data Science BA,1,Responsible,1
NASEM.Ethics.03,Statistics and Data Science BS,1,Responsible,1
NASEM.Ethics.03,B.A. in Data Science,2,Responsible,2
NASEM.Ethics.03,B.S. in Statistics: Statistical Data Science,1,Responsible,1
NASEM.Ethics.03,B.A. in Statistics and Data Science,2,Responsible,2
NASEM.Ethics.03,Certificate in Data Science ,1,Responsible,1
NASEM.Ethics.03,B.S. in Data Science,3,Responsible,3
NASEM.Ethics.03,B.S. in Computer Science with data science specialization,1,Responsible,1
NASEM.Ethics.03,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Responsible,1
NASEM.Ethics.03,"B.S. in Computer Science, Data Science Option",1,Responsible,1
NASEM.Ethics.03,B.S. in Human Centered Design & Engineering with Data Science option,4,Responsible,4
NASEM.Ethics.03,"B.S. in Informatics, Data Science Track",1,Responsible,1
NASEM.Ethics.03,B.S. in Statistics with Data Science option,1,Responsible,1
NASEM.Ethics.03,B.S. in Data Analytics.W,1,Responsible,1
NASEM.Ethics.04,B.S. in Data Analytics.O,1,Junk,1
NASEM.Ethics.04,"B.S. in Data Sciences, Applied Data Science option",1,Junk,1
NASEM.Ethics.04,"B.S. in Data Sciences, Computational Science option",1,Junk,1
NASEM.Ethics.04,Data Science Minor,2,Junk,2
NASEM.Ethics.04,Statistics and Data Science BA,1,Junk,1
NASEM.Ethics.04,Statistics and Data Science BS,1,Junk,1
NASEM.Ethics.04,B.A. in Data Science,1,Junk,1
NASEM.Ethics.04,B.S. in Statistics: Statistical Data Science,1,Junk,1
NASEM.Ethics.04,B.A. in Statistics and Data Science,2,Junk,2
NASEM.Ethics.04,Certificate in Data Science ,1,Junk,1
NASEM.Ethics.04,B.S. in Data Science,1,Junk,1
NASEM.Ethics.04,B.S. in Computer Science with data science specialization,1,Junk,1
NASEM.Ethics.04,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Junk,1
NASEM.Ethics.04,"B.S. in Computer Science, Data Science Option",1,Junk,1
NASEM.Ethics.04,B.S. in Human Centered Design & Engineering with Data Science option,1,Junk,1
NASEM.Ethics.04,"B.S. in Informatics, Data Science Track",1,Junk,1
NASEM.Ethics.04,B.S. in Statistics with Data Science option,1,Junk,1
NASEM.Ethics.04,B.S. in Data Analytics.W,1,Junk,1
NASEM.Ethics.05,B.S. in Data Analytics.O,1,Bias,1
NASEM.Ethics.05,"B.S. in Data Sciences, Applied Data Science option",1,Bias,1
NASEM.Ethics.05,"B.S. in Data Sciences, Computational Science option",1,Bias,1
NASEM.Ethics.05,Data Science Minor,1,Bias,1
NASEM.Ethics.05,Statistics and Data Science BA,1,Bias,1
NASEM.Ethics.05,Statistics and Data Science BS,1,Bias,1
NASEM.Ethics.05,B.A. in Data Science,1,Bias,1
NASEM.Ethics.05,B.S. in Statistics: Statistical Data Science,1,Bias,1
NASEM.Ethics.05,B.A. in Statistics and Data Science,1,Bias,1
NASEM.Ethics.05,Certificate in Data Science ,1,Bias,1
NASEM.Ethics.05,B.S. in Data Science,1,Bias,1
NASEM.Ethics.05,B.S. in Computer Science with data science specialization,1,Bias,1
NASEM.Ethics.05,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Bias,1
NASEM.Ethics.05,"B.S. in Computer Science, Data Science Option",2,Bias,2
NASEM.Ethics.05,B.S. in Human Centered Design & Engineering with Data Science option,1,Bias,1
